1	7	(-6.4227999999999996, 53.288000000000004) (-6.4257099999999996, 53.289299999999997) (-6.4268099999999997, 53.290300000000002) (-6.4268099999999997, 53.290300000000002) (-6.4268099999999997, 53.290300000000002) (-6.4271699999999994, 53.290599999999998) (-6.4271699999999994, 53.290599999999998)
6	8	(-6.2582100000000001, 53.347799999999999) (-6.4272499999999999, 53.290799999999997) (-6.4272499999999999, 53.290799999999997) (-6.4272900000000002, 53.290799999999997) (-6.4272900000000002, 53.290799999999997) (-6.4271799999999999, 53.291400000000003) (-6.4265499999999998, 53.290100000000002) (-6.4272099999999996, 53.2911)
8	1	(-6.4272300000000007, 53.290799999999997)
12	7	(-6.2582100000000001, 53.347799999999999) (-6.2582100000000001, 53.347799999999999) (-6.2582100000000001, 53.347799999999999) (-6.2582100000000001, 53.347799999999999) (-6.2585199999999999, 53.345300000000002) (-6.4272199999999993, 53.290799999999997) (-6.4272199999999993, 53.290799999999997)
15	1	(-6.25535, 53.348199999999999)
18	10	(-6.3340800000000002, 53.3063) (-6.3340800000000002, 53.3063) (-6.3340800000000002, 53.3063) (-6.3340800000000002, 53.3063) (-6.3340800000000002, 53.3063) (-6.3340800000000002, 53.3063) (-6.3340800000000002, 53.3063) (-6.3340800000000002, 53.3063) (-6.3340800000000002, 53.3063) (-6.3340800000000002, 53.3063)
21	4	(-6.3342800000000006, 53.307099999999998) (-6.3342800000000006, 53.306999999999995) (-6.3342800000000006, 53.306999999999995) (-6.3342800000000006, 53.306999999999995)
32	4	(-6.2553999999999998, 53.348199999999999) (-6.2553999999999998, 53.348199999999999) (-6.2553999999999998, 53.348199999999999) (-6.2553999999999998, 53.348199999999999)
33	10	(-6.2553999999999998, 53.348199999999999) (-6.2553999999999998, 53.348199999999999) (-6.2553999999999998, 53.348199999999999) (-6.2553800000000006, 53.348199999999999) (-6.2553800000000006, 53.348199999999999) (-6.2553800000000006, 53.348199999999999) (-6.2553999999999998, 53.348199999999999) (-6.2553800000000006, 53.348199999999999) (-6.2553999999999998, 53.348199999999999) (-6.2566899999999999, 53.347999999999999)
35	3	(-6.3342000000000001, 53.307099999999998) (-6.3342000000000001, 53.307099999999998) (-6.3342000000000001, 53.307099999999998)
41	3	(-6.3343800000000003, 53.306999999999995) (-6.3343800000000003, 53.306999999999995) (-6.3343800000000003, 53.306999999999995)
44	2	(-6.2588900000000001, 53.347200000000001) (-6.2566899999999999, 53.347999999999999)
45	1	(-6.2566699999999997, 53.347999999999999)
46	6	(-6.2577800000000003, 53.345599999999997) (-6.2592400000000001, 53.343800000000002) (-6.2566300000000004, 53.342700000000001) (-6.2549900000000003, 53.3414) (-6.2561200000000001, 53.339500000000001) (-6.2567300000000001, 53.347999999999999)
47	5	(-6.2555300000000003, 53.348199999999999) (-6.2555300000000003, 53.348199999999999) (-6.2555300000000003, 53.348199999999999) (-6.2585100000000002, 53.346699999999998) (-6.2555300000000003, 53.348199999999999)
50	3	(-6.2804500000000001, 53.310699999999997) (-6.2763200000000001, 53.311700000000002) (-6.3341599999999998, 53.306899999999999)
65	10	(-6.2583500000000001, 53.347799999999999) (-6.2583500000000001, 53.347799999999999) (-6.2588300000000006, 53.347299999999997) (-6.2588300000000006, 53.347299999999997) (-6.2588300000000006, 53.347299999999997) (-6.2582000000000004, 53.346699999999998) (-6.2582000000000004, 53.346699999999998) (-6.2582000000000004, 53.346699999999998) (-6.2573300000000005, 53.345599999999997) (-6.2573300000000005, 53.345599999999997)
71	3	(-6.1731999999999996, 53.445399999999999) (-6.1763199999999996, 53.4405) (-6.1250599999999995, 53.433999999999997)
73	2	(-6.1536200000000001, 53.450499999999998) (-6.1250599999999995, 53.433999999999997)
75	3	(-6.2387199999999998, 53.360799999999998) (-6.2387199999999998, 53.360799999999998) (-6.2387199999999998, 53.360799999999998)
78	2	(-6.1229500000000003, 53.436199999999999) (-6.1229500000000003, 53.436199999999999)
81	3	(-6.1229300000000002, 53.436199999999999) (-6.1229300000000002, 53.436199999999999) (-6.1229300000000002, 53.436199999999999)
82	7	(-6.1685699999999999, 53.448500000000003) (-6.2576000000000001, 53.349400000000003) (-6.2576000000000001, 53.349400000000003) (-6.2576000000000001, 53.349400000000003) (-6.2576199999999993, 53.349400000000003) (-6.2576199999999993, 53.349400000000003) (-6.2576199999999993, 53.349400000000003)
85	3	(-6.1431500000000003, 53.434199999999997) (-6.1431500000000003, 53.434199999999997) (-6.13293, 53.435200000000002)
90	5	(-6.15123, 53.442300000000003) (-6.1527699999999994, 53.445500000000003) (-6.1529800000000003, 53.447699999999998) (-6.1535500000000001, 53.450200000000002) (-6.1541199999999998, 53.450699999999998)
100	4	(-6.2319500000000003, 53.317700000000002) (-6.2319500000000003, 53.317700000000002) (-6.2080199999999994, 53.303400000000003) (-6.2080199999999994, 53.303400000000003)
115	1	(-6.2505199999999999, 53.339300000000001)
121	2	(-6.2447999999999997, 53.278500000000001) (-6.2462400000000002, 53.292700000000004)
126	3	(-6.2486800000000002, 53.276899999999998) (-6.2458, 53.292499999999997) (-6.2462400000000002, 53.292700000000004)
127	5	(-6.21631, 53.384399999999999) (-6.2196400000000001, 53.384399999999999) (-6.2196400000000001, 53.384399999999999) (-6.2233099999999997, 53.384900000000002) (-6.2203800000000005, 53.373899999999999)
131	8	(-6.2465000000000002, 53.287100000000002) (-6.2464699999999995, 53.288000000000004) (-6.2465199999999994, 53.2881) (-6.2465199999999994, 53.2881) (-6.2465199999999994, 53.2881) (-6.2461599999999997, 53.288600000000002) (-6.2456100000000001, 53.288800000000002) (-6.2457500000000001, 53.291800000000002)
134	2	(-6.2660200000000001, 53.284599999999998) (-6.2437199999999997, 53.289499999999997)
135	2	(-6.2576199999999993, 53.292099999999998) (-6.2437399999999998, 53.289499999999997)
136	3	(-6.2706, 53.308) (-6.2726300000000004, 53.309399999999997) (-6.2462400000000002, 53.292700000000004)
139	1	(-6.2459300000000004, 53.2926)
153	2	(-6.2458, 53.292499999999997) (-6.2568400000000004, 53.290100000000002)
155	3	(-6.2457500000000001, 53.292400000000001) (-6.2457699999999994, 53.292400000000001) (-6.2458, 53.292499999999997)
157	5	(-6.2464599999999999, 53.292499999999997) (-6.2464599999999999, 53.292499999999997) (-6.2464599999999999, 53.292499999999997) (-6.24587, 53.292400000000001) (-6.24587, 53.292400000000001)
161	2	(-6.2631800000000002, 53.304900000000004) (-6.2462400000000002, 53.292700000000004)
163	2	(-6.25488, 53.355699999999999) (-6.25488, 53.355699999999999)
170	2	(-6.2435499999999999, 53.289400000000001) (-6.2462400000000002, 53.292700000000004)
171	6	(-6.2144599999999999, 53.385599999999997) (-6.2187199999999994, 53.384399999999999) (-6.2224399999999997, 53.384700000000002) (-6.2276899999999999, 53.385599999999997) (-6.2335900000000004, 53.385300000000001) (-6.2144599999999999, 53.385599999999997)
174	8	(-6.21631, 53.384300000000003) (-6.2196699999999998, 53.384399999999999) (-6.2233400000000003, 53.384900000000002) (-6.2291699999999999, 53.385599999999997) (-6.2291699999999999, 53.385599999999997) (-6.2349699999999997, 53.384999999999998) (-6.2349699999999997, 53.384999999999998) (-6.2390300000000005, 53.3812)
176	3	(-6.2458, 53.292499999999997) (-6.2457500000000001, 53.292400000000001) (-6.2457500000000001, 53.292400000000001)
179	1	(-6.2458, 53.292400000000001)
